Session_Name_,Accuracy Proportion,Samples Removed,Data Loss,Small_ER,Large_ER,Small_RT,Large_RT,Gender,Handedness,Eng_Primary,Age
ETS_0004,0.966666667,10,8.045977011,0.044444444,0.022222222,448.04,458.6830952,Female,Right,Yes,18.7696514
ETS_0005,0.966666667,9,6.896551724,0.044444444,0.022222222,490.76675,456.7412195,Male,Right,Yes,18.93096377
ETS_0006,0.966666667,10,8.045977011,0.044444444,0.022222222,499.1017949,491.272439,Female,Right,Yes,19.57621326
ETS_0008,0.988888889,6,5.617977528,0,0.022222222,564.2774419,566.1004878,Male,Right,Yes,18.72590567
ETS_0009,0.966666667,8,5.747126437,0.044444444,0.022222222,539.3447619,539.19025,Male,Right,Yes,18.81886535
ETS_0010,0.966666667,8,5.747126437,0.044444444,0.022222222,474.3004878,437.5219512,Female,Right,Yes,18.22009569
ETS_0011,1,4,4.444444444,0,0,468.0074419,496.3927907,Female,Right,Yes,19.02665755
ETS_0012,0.944444444,10,5.882352941,0,0.111111111,495.6844186,527.9478378,Female,Right,Yes,18.1189337
ETS_0013,0.944444444,8,3.529411765,0.088888889,0.022222222,529.1787179,532.6251163,Male,Right,Yes,18.27477785
ETS_0014,1,4,4.444444444,0,0,444.3483333,456.1354545,Female,Right,Yes,18.96103896
ETS_0015,0.955555556,9,5.813953488,0.022222222,0.066666667,465.2087805,465.46675,Female,Right,Yes,18.17908407
ETS_0016,0.966666667,6,3.448275862,0.066666667,0,513.081,538.39,Female,Right,Yes,18.77511962
ETS_0017,0.955555556,11,8.139534884,0.066666667,0.022222222,485.78975,485.8289744,Male,Right,Yes,20.61790841
ETS_0018,0.977777778,9,7.954545455,0,0.044444444,640.9286047,621.6007895,Female,Right,Yes,18.47983595
ETS_0019,1,3,3.333333333,0,0,522.1646512,519.7427273,Male,Right,Yes,20.39917977
ETS_0020,0.977777778,8,6.818181818,0.044444444,0,628.8266667,623.9495349,Female,Right,Yes,18.50717703
ETS_0021,0.888888889,15,6.25,0.111111111,0.111111111,432.19,440.9051351,Female,Right,Yes,19.10047847
ETS_0022,0.977777778,8,6.818181818,0.044444444,0,590.20275,575.5359524,Female,Right,Yes,18.06698565
ETS_0023,0.955555556,11,8.139534884,0.044444444,0.044444444,474.30875,466.1776923,Non-binary,Right,Yes,21.09911141
ETS_0024,0.977777778,11,10.22727273,0.044444444,0,504.59,480.1581395,Male,Right,Yes,18.70676692
ETS_0025,0.988888889,7,6.741573034,0.022222222,0,615.7438095,659.2934146,Female,Right,Yes,18.25017088
ETS_0026,1,7,7.777777778,0,0,497.5490476,506.9292683,Female,Right,Yes,18.76691729
ETS_0027,0.988888889,5,4.494382022,0,0.022222222,538.807619,539.34,Female,Right,Yes,19.03759398
ETS_0028,1,4,4.444444444,0,0,587.5437209,576.1360465,Male,Right,Yes,18.70676692
ETS_0029,0.944444444,8,3.529411765,0.066666667,0.044444444,498.0334146,489.0956098,Male,Right,Yes,19.00205058
ETS_0030,0.955555556,10,6.976744186,0.066666667,0.022222222,414.0153846,425.685122,Female,Right,Yes,20.80656186
ETS_0031,0.922222222,10,3.614457831,0.044444444,0.111111111,575.3878049,601.1864103,Female,Right,Yes,19.43950786
ETS_0032,0.933333333,12,7.142857143,0.044444444,0.088888889,448.8479487,441.8384615,Female,Right,Yes,18.88721805
ETS_0033,0.988888889,5,4.494382022,0,0.022222222,545.2459091,522.5363415,Female,Right,Yes,18.25017088
ETS_0034,1,8,8.888888889,0,0,481.0680952,476.84425,Female,Right,Yes,18.9063568
ETS_0035,0.988888889,7,6.741573034,0.022222222,0,573.9009524,571.9317073,Female,Right,Yes,18.19822283
ETS_0037,0.966666667,7,4.597701149,0,0.066666667,474.5404762,462.4685366,Female,Right,Yes,18.27204375
ETS_0040,1,5,5.555555556,0,0,528.7795238,514.8272093,Female,Right,Yes,18.14627478
ETS_0041,0.955555556,8,4.651162791,0.044444444,0.044444444,569.18675,566.3245238,Female,Right,Yes,18.37047163
ETS_0042,0.922222222,13,7.228915663,0.088888889,0.066666667,475.84925,473.8562162,Female,Right,Yes,18.16267943
ETS_0043,0.944444444,7,2.352941176,0.044444444,0.066666667,502.2135714,501.0704878,Female,Right,Yes,18.21736159
ETS_0044,0.977777778,5,3.409090909,0.044444444,0,423.237561,426.3909091,Female,Right,Yes,19.08407382
ETS_0045,1,5,5.555555556,0,0,495.6481395,491.6497619,Female,Right,Yes,20.49487355
ETS_0046,0.988888889,4,3.370786517,0,0.022222222,433.6,430.1865116,Male,Right,Yes,18.16814764
ETS_0047,0.944444444,7,2.352941176,0.044444444,0.066666667,466.7488095,481.0234146,Female,Right,Yes,18.8024607
ETS_0048,1,6,6.666666667,0,0,542.9170732,573.2686047,Female,Right,Yes,19.47505126
ETS_0049,0.988888889,6,5.617977528,0.022222222,0,562.9816667,542.9252381,Female,Right,Yes,18.9391661
ETS_0050,0.988888889,6,5.617977528,0,0.022222222,604.477907,569.927561,Male,Right,Yes,21.11004785
ETS_0051,1,7,7.777777778,0,0,498.9797674,489.02975,Female,Right,Yes,18.57279563
ETS_0052,0.933333333,14,9.523809524,0.111111111,0.022222222,469.8605263,468.1152632,Male,Right,Yes,18.40874915
ETS_0053,0.955555556,12,9.302325581,0.022222222,0.066666667,608.1852632,588.58875,Female,Right,Yes,18.38414217
ETS_0054,0.933333333,10,4.761904762,0.066666667,0.066666667,452.51925,449.5465,Female,Right,Yes,18.19822283
ETS_0055,0.966666667,6,3.448275862,0.044444444,0.022222222,491.0780488,492.6374419,Female,Right,Yes,20.18865345
ETS_0056,1,5,5.555555556,0,0,459.9207143,477.5588372,Male,Right,Yes,19.64183185
ETS_0057,0.977777778,8,6.818181818,0.044444444,0,543.4845,529.8240476,Male,Right,Yes,18.75324675
ETS_0058,0.944444444,9,4.705882353,0.066666667,0.044444444,491.6012195,481.6175,Male,Right,Yes,18.02870813
ETS_0059,0.977777778,6,4.545454545,0.022222222,0.022222222,492.9825581,495.4153659,Female,Right,Yes,19.12781955
ETS_0061,0.988888889,5,4.494382022,0,0.022222222,496.177907,476.1347619,Female,Right,Yes,18.62474368
ETS_0062,0.9,15,7.407407407,0.111111111,0.088888889,405.3311111,402.1176923,Female,Right,Yes,18.86534518
ETS_0063,0.966666667,8,5.747126437,0.044444444,0.022222222,516.7953846,497.3834884,Male,Right,Yes,20.06015038
ETS_0064,0.955555556,8,4.651162791,0.066666667,0.022222222,468.9458537,478.1402439,Female,Right,Yes,18.47163363
ETS_0065,0.966666667,15,13.79310345,0.044444444,0.022222222,466.747,469.6662857,Male,Right,Yes,21.23308271
ETS_0066,0.966666667,8,5.747126437,0.044444444,0.022222222,445.7909756,449.212439,Female,Right,Yes,18.98838004
ETS_0067,1,5,5.555555556,0,0,588.6943182,566.8953659,Female,Right,Yes,20.16131237
ETS_0068,0.977777778,9,7.954545455,0.044444444,0,510.5621622,490.7602273,Male,Right,Yes,20.28708134
ETS_0069,0.988888889,7,6.741573034,0.022222222,0,570.587,554.6904651,Male,Right,Yes,18.13807245
ETS_0070,0.977777778,6,4.545454545,0.044444444,0,585.0587805,584.9437209,Male,Right,Yes,19.13602187
ETS_0071,0.988888889,11,11.23595506,0.022222222,0,712.4933333,661.93425,Male,Right,Yes,18.57826384
ETS_0072,0.988888889,4,3.370786517,0.022222222,0,500.894186,535.5186047,Female,Right,Yes,20.48120301
ETS_0073,0.955555556,7,3.488372093,0.066666667,0.022222222,487.0365,484.6053488,Male,Right,Yes,18.30485304
ETS_0074,0.988888889,8,7.865168539,0,0.022222222,513.1723077,538.1083721,Female,Right,Yes,18.57552973
ETS_0075,1,4,4.444444444,0,0,519.4488636,521.042619,Male,Right,Yes,21.51196172
ETS_0076,0.977777778,7,5.681818182,0.022222222,0.022222222,462.6665,455.13,Female,Right,Yes,19.3520164
ETS_0077,0.966666667,9,6.896551724,0.044444444,0.022222222,477.25025,451.1265854,Male,Right,Yes,19.42583732
ETS_0078,0.988888889,11,11.23595506,0,0.022222222,519.31825,517.9853846,Male,Right,Yes,18.96377307
ETS_0079,0.988888889,8,7.865168539,0.022222222,0,557.9719512,564.1992683,Female,Right,Yes,18.70950103
ETS_0080,0.977777778,9,7.954545455,0,0.044444444,525.61775,524.9243902,Female,Right,Yes,19.27819549
ETS_0081,1,6,6.666666667,0,0,504.9213953,500.8953659,Male,Right,Yes,19.01298701
ETS_0082,1,7,7.777777778,0,0,489.8763415,497.1378571,Male,Right,Yes,18.53998633
ETS_0083,0.988888889,4,3.370786517,0.022222222,0,522.1402326,518.447907,Male,Right,Yes,18.14080656
ETS_0084,0.9,14,6.172839506,0.111111111,0.088888889,441.5991667,428.3805,Female,Right,Yes,18.58646617
ETS_0085,0.977777778,7,5.681818182,0.022222222,0.022222222,649.4440476,640.2982927,Male,Right,Yes,19.31373889
ETS_0086,0.977777778,9,7.954545455,0.022222222,0.022222222,521.2507692,498.4214286,Male,Right,Yes,18.21736159
ETS_0087,0.966666667,8,5.747126437,0.044444444,0.022222222,497.8719512,473.7868293,Male,Right,Yes,18.21736159
ETS_0088,0.988888889,7,6.741573034,0.022222222,0,548.3934146,545.892619,Female,Right,Yes,18.50444293
ETS_0089,1,5,5.555555556,0,0,553.8016667,544.0586047,Male,Right,Yes,20.2406015
ETS_0090,0.988888889,7,6.741573034,0.022222222,0,457.802619,467.3468293,Female,Right,Yes,19.06220096
ETS_0091,0.988888889,6,5.617977528,0.022222222,0,501.1047619,521.2035714,Female,Right,Yes,19.0430622
ETS_0092,0.955555556,10,6.976744186,0.044444444,0.044444444,559.2546341,532.9894872,Male,Right,Yes,18.57006152
ETS_0094,0.944444444,15,11.76470588,0.022222222,0.088888889,509.7368571,501.39475,Female,Right,Yes,18.26930964
ETS_0095,0.922222222,13,7.228915663,0.066666667,0.088888889,462.9521622,463.27275,Male,Right,Yes,20.62337662
ETS_0096,0.966666667,14,12.64367816,0.066666667,0,596.8551515,584.3688372,Male,Right,Yes,18.70676692
ETS_0097,0.977777778,6,4.545454545,0.022222222,0.022222222,552.06,553.6395349,Male,Right,Yes,22.12440191
ETS_0098,0.977777778,10,9.090909091,0.022222222,0.022222222,494.3097436,496.2697561,Male,Right,Yes,18.40054682
ETS_0099,1,6,6.666666667,0,0,488.5497561,472.752093,Female,Right,Yes,18.95830485
ETS_0100,0.988888889,13,13.48314607,0.022222222,0,576.0578049,616.1191667,Male,Right,Yes,18.23923445
ETS_0101,0.988888889,10,10.11235955,0.022222222,0,545.4107692,532.4943902,Male,Right,Yes,18.84894053
ETS_0102,0.988888889,8,7.865168539,0.022222222,0,587.5553846,584.3453488,Male,Right,Yes,18.58099795
ETS_0103,0.955555556,12,9.302325581,0.044444444,0.044444444,520.5724324,507.1453659,Male,Right,Yes,18.42241969
ETS_0104,1,13,14.44444444,0,0,674.1645714,644.9628571,Male,Right,Yes,18.36773753
ETS_0105,1,9,10,0,0,532.732439,550.67825,Male,Right,Yes,21.0608339
ETS_0106,0.922222222,12,6.024096386,0.111111111,0.044444444,565.2397297,605.5119512,Female,Right,Yes,21.46001367
ETS_0107,0.966666667,10,8.045977011,0.044444444,0.022222222,687.5860976,686.4576923,Male,Right,Yes,19.6937799
ETS_0108,0.977777778,6,4.545454545,0.022222222,0.022222222,544.9045238,571.1190476,Female,Right,Yes,18.73684211
ETS_0109,0.966666667,9,6.896551724,0,0.066666667,481.7202326,470.8884211,Female,Right,Yes,18.64661654
ETS_0111,0.966666667,12,10.34482759,0.044444444,0.022222222,482.7409524,503.3855556,Female,Right,Yes,20.35543404
ETS_0112,0.988888889,9,8.988764045,0,0.022222222,658.4025641,655.3511905,Male,Right,Yes,18.7696514
ETS_0113,0.944444444,9,4.705882353,0.066666667,0.044444444,523.29475,540.7121951,Male,Right,Yes,18.64114833
ETS_0114,1,14,15.55555556,0,0,726.5880952,748.4929412,Male,Right,Yes,18.38414217
ETS_0115,1,6,6.666666667,0,0,548.1262791,504.1641463,Female,Right,Yes,18.38961039
ETS_0117,0.977777778,8,6.818181818,0.044444444,0,592.346,586.527619,Male,Right,Yes,19.09227614
ETS_0119,0.977777778,6,4.545454545,0.044444444,0,588.1445,607.2322727,Female,Right,Yes,19.27272727
ETS_0120,0.933333333,9,3.571428571,0.066666667,0.066666667,436.67225,472.8304878,Female,Right,Yes,18.33492823
